location,date,stringency_index,reproduction_rate,new_deaths_smoothed_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,human_development_index,%_of_mixed_sentiments,%_of_negative_sentiments,%_of_neutral_sentiments,%_of_positive_sentiments
Singapore,10/2/2022,60.19,1.45,0.576,"",90.85,0.938,0.357781753,22.54025045,69.76744186,7.334525939
United States,10/2/2022,58.8,0.55,7.796,"",76.12,0.926,0.716942543,47.08784232,46.61924508,5.575970064
Italy,10/2/2022,76.85,0.67,5.885,11.016,83.6,0.892,0.216684724,38.46153846,55.57963164,5.742145179
Germany,10/2/2022,84.26,1.08,1.905,20.036,75.46,0.947,0.693160813,40.38817006,51.70979667,7.208872458
Norway,10/2/2022,25,1.02,1.202,"",79.14,0.957,0.617283951,36.41975309,52.77777778,10.18518519
United Kingdom,10/2/2022,42.13,0.79,2.999,"",76.94,0.932,0.858568479,45.92050929,47.27804542,5.942876807
Australia,10/2/2022,55.56,0.76,2.249,-,84.85,0.944,1.175505741,44.14980864,48.56023328,6.114452342
Taiwan,10/2/2022,27.78,1.04,0,"",80.44,"",0.549450549,21.15384615,37.08791209,41.20879121
Hong Kong,10/2/2022,65.74,"",0.057,-,73.26,0.949,0.831600832,32.01663202,61.12266112,6.029106029
China,10/2/2022,64.35,2.25,0,-,"",0.761,0.601684717,39.10950662,54.03128761,6.257521059
Brazil,10/2/2022,61.57,0.87,4.03,-,81.03,0.765,0.56710775,28.54442344,50.66162571,20.2268431
France,10/2/2022,69.44,0.7,5.121,29.145,79.92,0.901,0.769230769,41.02564103,52.86324786,5.341880342
New Zealand,10/2/2022,62.04,1.96,0,-,82.27,0.931,1.284707833,42.27103191,50.31081641,6.133443846
South Korea,10/2/2022,46.3,1.58,0.49,"",87.24,0.916,1.119402985,30.97014925,56.71641791,11.19402985
Japan,10/2/2022,47.22,0.98,1.003,-,"",0.919,1.236917222,31.01807802,57.94481446,9.800190295
India,10/2/2022,75.46,0.42,0.73,-,68.49,0.645,0.584225901,31.71512032,60.89859508,6.802058701
Canada,10/2/2022,76.39,0.73,2.424,-,85.25,0.929,0.818334912,45.11630355,48.41595622,5.649405326
South Africa,10/2/2022,41.67,0.93,2.76,"","",0.709,0.924784217,35.51171393,56.47348952,7.09001233
Egypt,10/2/2022,43.52,1.03,0.537,-,"",0.707,1.194029851,30.44776119,63.28358209,5.074626866
Argentina,10/2/2022,35.19,0.52,4.871,-,88.7,0.845,1.208459215,36.85800604,51.96374622,9.96978852
Singapore,14/1/2022,50,1.51,0.131,"",88.84,0.938,2.083333333,29.16666667,59.22619048,9.523809524
United States,14/1/2022,53.24,1.13,5.984,"",74.76,0.926,0.772948577,51.64895696,42.04662568,5.53146878
Italy,14/1/2022,76.85,1.18,4.38,17.278,81.7,0.892,0.531914894,44.41489362,49.46808511,5.585106383
Germany,14/1/2022,84.26,1.4,2.903,13.349,74.45,0.947,0.556173526,43.82647386,49.49944383,6.117908788
Norway,14/1/2022,48.15,1.44,0.81,-,78.76,0.957,0.775193798,48.8372093,41.08527132,9.302325581
United Kingdom,14/1/2022,48.61,0.86,3.927,"",76.35,0.932,0.672234671,51.30882053,42.56976981,5.449174985
Australia,14/1/2022,45.83,1.31,1.573,-,80.88,0.944,1.083417204,50.79036173,43.26564443,4.860576638
Taiwan,14/1/2022,20.37,1.31,0.006,"",79,"",0.735294118,24.26470588,65.44117647,9.558823529
Hong Kong,14/1/2022,65.74,"",0,-,67.62,0.949,1.533742331,37.73006135,56.13496933,4.601226994
China,14/1/2022,79.17,0.94,0,-,87.5,0.761,1.598173516,43.15068493,51.59817352,3.652968037
Brazil,14/1/2022,61.57,1.88,0.828,-,77.98,0.765,1.941747573,42.7184466,46.60194175,8.737864078
France,14/1/2022,69.44,1.27,3.212,33.98,79.36,0.901,1.220657277,41.12676056,51.7370892,5.915492958
